timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,etiqueta
1759632530.5633366,2181984,-435797,-5030236,-5084626,-1926158,-761852,-5997680,8388607,contraccion
1759632530.56345,2259529,-337658,-5024440,-5280792,-2012938,-681765,-6238051,8388607,contraccion
1759632530.5635586,2278944,-402084,-5004112,-5284757,-1990992,-543309,-6270214,8388607,contraccion
1759632530.5636666,2305404,-546327,-4973154,-5182092,-1896590,-362152,-6185297,8388607,contraccion
1759632530.6223514,2347194,-779934,-4931318,-4969963,-1728132,-131389,-5978653,8388607,contraccion
1759632530.62246,2490154,-697617,-4928743,-5075766,-1733452,-4031,-6114752,8388607,contraccion
1759632530.622569,2561575,-513978,-4953154,-5296374,-1834873,38725,-6378934,8388607,contraccion
1759632530.6226776,2582896,-465887,-4965503,-5403609,-1879941,127820,-6516667,8388607,contraccion
1759632530.622785,2589479,-511786,-4962120,-5404114,-1861476,269303,-6537870,8388607,contraccion
1759632530.6228929,2629718,-648849,-4921838,-5264707,-1744791,487694,-6405042,8388607,contraccion
1759632530.6230009,2771993,-505979,-4925051,-5432966,-1787632,607867,-6590081,8388607,contraccion
1759632530.623109,2823382,-309020,-4960826,-5688146,-1911674,647252,-6872785,8388607,contraccion
1759632530.6232166,2811306,-315374,-4971135,-5751521,-1935361,751581,-6956639,8388607,contraccion
1759632530.6233244,2796304,-413254,-4967191,-5711002,-1893016,902298,-6927080,8388607,contraccion
1759632530.623432,2791366,-594015,-4943007,-5561390,-1777583,1107823,-6779772,8388607,contraccion
1759632530.6235397,2890659,-481351,-4956850,-5711877,-1808942,1228181,-6921389,8388607,contraccion
1759632530.623649,2911219,-301304,-4994273,-5936094,-1911206,1282361,-7141277,8388607,contraccion
1759632530.6237574,2871489,-316921,-5003448,-5970797,-1917655,1397839,-7178634,8388607,contraccion
1759632530.6238658,2838665,-417869,-4994264,-5901878,-1858308,1558230,-7117067,8388607,contraccion
1759632530.6826437,2832164,-599542,-4960349,-5723477,-1725741,1778435,-6947611,8388607,contraccion
1759632530.682752,2938615,-492728,-4966214,-5844551,-1733204,1914980,-7028568,8388607,contraccion
1759632530.6828651,2972294,-318044,-4997120,-6038469,-1809937,1980165,-7190890,8388607,contraccion
1759632530.6829736,2945963,-335233,-4999171,-6047507,-1795682,2100861,-7201560,8388607,contraccion
1759632530.683086,2922026,-434955,-4982135,-5955627,-1718848,2260728,-7120914,8388607,contraccion
1759632530.6831956,2919283,-612025,-4941763,-5761072,-1575057,2469446,-6947226,8388607,contraccion
1759632530.6833043,3030318,-492102,-4941772,-5870732,-1567759,2590836,-7010434,8388607,contraccion
1759632530.6834133,3067803,-297910,-4965519,-6054383,-1628425,2645112,-7157241,8388607,contraccion
1759632530.6835215,3047782,-292794,-4960001,-6057569,-1603632,2757641,-7165386,8388607,contraccion
1759632530.6836298,3029891,-371601,-4935445,-5961961,-1519656,2908551,-7090537,8388607,contraccion
1759632530.683741,3032562,-527525,-4886376,-5763509,-1370371,3108105,-6925307,8388607,contraccion
1759632530.683849,3139328,-398095,-4882439,-5865358,-1356494,3225244,-6981196,8388607,contraccion
1759632530.683958,3171912,-201226,-4904411,-6035909,-1409059,3277732,-7115720,8388607,contraccion
1759632530.6840663,3151899,-192659,-4896601,-6026216,-1377773,3382521,-7119060,8388607,contraccion
1759632530.684175,3136256,-268111,-4868040,-5917260,-1287642,3522286,-7041563,8388607,contraccion
1759632530.7420824,3140803,-422997,-4814794,-5707544,-1133964,3705626,-6876622,8388607,contraccion
